,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
361,Quadro K5100M,3275,702,2.95,"$1,108.84 "
362,Quadro K5200,6164,438,14.85,$415.00 
363,Quadro K6000,8006,357,38.01,$210.66 
364,Quadro M600M,2240,890,8.89,$251.99 
365,Quadro M1000M,2834,763,32.96,$85.99 
366,Quadro M2000,4030,611,15.25,$264.24 
367,Quadro M2000M,3407,684,15.99,$213.16 
368,Quadro M2200,4290,597,17.16,$249.99 
369,Quadro M3000M,5541,479,34.64,$159.95 
370,Quadro M4000,6669,406,29.12,$229.00 
371,Quadro M4000M,6074,444,23.83,$254.91 
372,Quadro M5000,9401,314,18.84,$499.00 
373,Quadro M5000M,7076,391,12.94,$546.92 
374,Quadro M6000,11767,253,2.39,"$4,933.21 "
375,Quadro NVS 280 PCI,8,2670,0.06,$130.00 
376,Quadro NVS 285,44,2526,0.26,$169.86 
377,Quadro NVS 285 128MB,38,2549,0.7,$55.00 
378,Quadro NVS 290,228,2115,3.86,$59.00 
379,Quadro NVS 295,113,2322,1.81,$63.00 
380,Quadro NVS 420,137,2256,0.91,$150.00 
381,Quadro NVS 440,37,2554,0.16,$228.87 
382,Quadro NVS 450,66,2455,0.14,$489.24 
383,Quadro P400,1660,1084,8.25,$201.17 
384,Quadro P520,2021,952,1.35,"$1,499.00 "
385,Quadro P600,3324,694,15.79,$210.58 
386,Quadro P620,3700,647,6.44,$574.55 
387,Quadro P1000,4495,572,15.5,$289.99 
388,Quadro P2000,6979,395,15.88,$439.60 
389,Quadro P2200,9397,315,20.44,$459.80 
390,Quadro P3200,8551,338,21.97,$389.30 
391,Quadro P4000,11445,265,20.58,$556.19 
392,Quadro P5000,12681,228,6.79,"$1,868.99 "
393,Quadro P6000,15527,157,4.78,"$3,250.00 "
394,Quadro RTX 4000,14904,172,16.58,$899.00 
395,Quadro RTX 6000,17844,116,2.83,"$6,300.00 "
396,Quadro RTX 8000,19911,93,5.3,"$3,760.00 "
397,Quadro T1000,6499,419,17.57,$369.99 
398,Quadro T2000,7285,387,13.79,$528.35 
399,Radeon 520,877,1432,9.75,$89.99 
400,Radeon 550,2127,923,29.39,$72.37 
401,Radeon 2100,59,2470,0.31,$190.99 
402,Radeon 3000,98,2366,0.31,$319.00 
403,Radeon 3100,73,2431,0.39,$189.15 
404,RADEON 7200,2,2783,0,$599.99 
405,RADEON 7500,3,2773,0.02,$177.25 
406,RADEON 9200,3,2759,0.02,$153.63 
407,RADEON 9250,2,2792,0.01,$194.00 
408,RADEON 9500,36,2560,0.9,$40.50 
409,RADEON 9550,34,2568,0.12,$291.74 
410,RADEON 9800,57,2479,0.18,$325.00 
411,Radeon E6760,850,1451,3.54,$239.99 
412,Radeon HD4650,239,2105,1.57,$152.90 
413,RADEON HD7450,199,2154,8.95,$22.25 
414,Radeon HD 2400,120,2302,1.37,$88.20 
415,Radeon HD 2600 PRO,211,2139,1.12,$188.44 
416,Radeon HD 2600 XT,282,2062,1.78,$159.00 
417,Radeon HD 3450,178,2181,2.01,$89.00 
418,Radeon HD 3470,117,2309,1.07,$109.65 
419,Radeon HD 3650 AGP,150,2218,0.81,$185.00 
420,Radeon HD 3870,551,1780,2.23,$247.49 
421,Radeon HD 4350,164,2205,3.23,$50.99 
422,Radeon HD 4550,235,2111,1.51,$156.00 
423,Radeon HD 4650,248,2098,3.55,$69.99 
424,Radeon HD 4670,381,1968,2.67,$142.96 
425,Radeon HD 4770,908,1409,7.28,$124.86 
426,Radeon HD 4830,865,1440,14.43,$59.99 
427,Radeon HD 4850,946,1387,6.76,$139.99 
428,Radeon HD 4870,1386,1189,8.52,$162.68 
429,Radeon HD 4890,1545,1136,17.18,$89.99 
430,Radeon HD 5450,136,2259,1.96,$69.64 
431,Radeon HD 5550,383,1963,6.97,$54.99 
432,Radeon HD 5570,476,1878,2.94,$162.35 
433,Radeon HD 5670,796,1498,8.6,$92.61 
434,Radeon HD 5750,1171,1267,10.26,$114.18 
435,Radeon HD 5770,1348,1202,7.1,$189.99 
436,Radeon HD 5830,1726,1060,6.67,$258.99 
437,Radeon HD 5850,1948,981,6.74,$288.99 
438,Radeon HD 5870,2179,909,5.07,$429.99 
439,Radeon HD 5970,2290,871,3.18,$721.20 
440,Radeon HD 6320,147,2225,0.27,$554.99 
441,RADEON HD 6350,140,2244,2.39,$59.00 
442,Radeon HD 6380G,200,2151,0.5,$399.99 
443,Radeon HD 6450,197,2156,2.22,$89.00 
444,Radeon HD 6470M,225,2118,0.4,$569.99 
445,Radeon HD 6490M,377,1970,0.32,"$1,193.03 "
446,Radeon HD 6570,554,1776,8.54,$64.99 
447,Radeon HD 6670,729,1569,10.58,$68.99 
448,Radeon HD 6750,1042,1331,13.03,$79.99 
449,Radeon HD 6770,1275,1224,4.81,$264.99 
450,Radeon HD 6790,1566,1132,5.33,$294.00 
