,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
131,GeForce GT 330,391,1958,9.79,$39.99 
132,GeForce GT 340,738,1563,13.93,$52.99 
133,GeForce GT 420,433,1921,2.8,$155.00 
134,GeForce GT 430,599,1710,4.28,$139.99 
135,GeForce GT 440,770,1527,3.42,$225.00 
136,GeForce GT 520,324,2023,1.07,$304.00 
137,GeForce GT 520M,284,2059,9.51,$29.95 
138,GeForce GT 530,658,1636,13.44,$49.00 
139,GeForce GT 540M,473,1883,5.39,$87.95 
140,GeForce GT 545,1114,1288,20.06,$55.59 
141,GeForce GT 555M,647,1648,3.65,$177.20 
142,GeForce GT 610,332,2014,2.37,$139.99 
143,GeForce GT 620,390,1959,2.54,$154.00 
144,GeForce GT 630,686,1609,4.67,$147.01 
145,GeForce GT 635,810,1489,12.1,$66.94 
146,GeForce GT 640,1168,1269,10.62,$109.99 
147,GeForce GT 640M LE,698,1600,0.82,$849.99 
148,GeForce GT 705,369,1979,1.25,$296.76 
149,GeForce GT 710,619,1687,2.48,$249.99 
150,GeForce GT 720,659,1632,6.6,$99.99 
151,GeForce GT 730,823,1473,8.1,$101.71 
152,GeForce GT 740,1425,1183,6.02,$236.99 
153,GeForce GT 1030,2400,837,19.12,$125.55 
154,GeForce GTS 240,515,1830,7.93,$64.99 
155,GeForce GTS 250,567,1757,6.59,$86.06 
156,GeForce GTS 450,1339,1206,9.98,$134.23 
157,GeForce GTX 260,1201,1257,4.2,$285.78 
158,GeForce GTX 275,1351,1201,3.13,$431.72 
159,GeForce GTX 280,1285,1219,2.46,$522.78 
160,GeForce GTX 285,1475,1165,12.29,$119.99 
161,GeForce GTX 295,1220,1247,7.63,$159.99 
162,GeForce GTX 460,2271,876,25.24,$89.99 
163,GeForce GTX 460 SE,1992,965,12.45,$159.99 
164,GeForce GTX 460 v2,2074,934,10.37,$199.99 
165,GeForce GTX 465,2656,793,13.62,$195.00 
166,GeForce GTX 470,3159,723,52.67,$59.99 
167,GeForce GTX 480,4078,607,23.99,$169.99 
168,GeForce GTX 550 Ti,1553,1135,15.54,$99.99 
169,GeForce GTX 560,2772,772,13.53,$205.00 
170,GeForce GTX 560 SE,1847,1018,20.53,$89.99 
171,GeForce GTX 560 Ti,3076,736,23.67,$129.99 
172,GeForce GTX 570,3929,617,26.2,$149.99 
173,GeForce GTX 580,4630,562,9.48,$488.59 
174,GeForce GTX 580M,1771,1045,7.12,$248.68 
175,GeForce GTX 590,3341,691,7.68,$435.00 
176,GeForce GTX 650,1757,1050,12.22,$143.80 
177,GeForce GTX 650 Ti,2530,821,27.2,$93.05 
178,GeForce GTX 660,4042,610,24.07,$167.95 
179,GeForce GTX 660 Ti,4414,585,30.66,$144.00 
180,GeForce GTX 660M,1453,1171,18.4,$78.99 
181,GeForce GTX 670,5360,494,27.63,$193.98 
182,GeForce GTX 680,5607,470,14.06,$399.00 
183,GeForce GTX 680M,3276,701,24.09,$135.99 
184,GeForce GTX 690,5535,481,19.7,$280.99 
185,GeForce GTX 745,2121,925,7.44,$284.95 
186,GeForce GTX 750,3310,697,24.47,$135.29 
187,GeForce GTX 750 Ti,3901,622,44.28,$88.11 
188,GeForce GTX 760,4816,547,32.33,$149.00 
189,GeForce GTX 760 Ti,5306,502,17.84,$297.50 
190,GeForce GTX 765M,2008,954,10.78,$186.30 
191,GeForce GTX 770,5966,450,23.96,$249.00 
192,GeForce GTX 770M,2789,771,20.21,$138.00 
193,GeForce GTX 780,7949,359,28.39,$279.99 
194,GeForce GTX 780 Ti,9468,313,27.85,$339.99 
195,GeForce GTX 780M,3866,630,7.75,$499.00 
196,GeForce GTX 860M,3096,734,27.16,$114.00 
197,GeForce GTX 950,5355,495,37.72,$141.99 
198,GeForce GTX 950M,2570,808,4.53,$567.00 
199,GeForce GTX 960,6135,440,35.67,$172.00 
200,GeForce GTX 960M,3371,685,2.88,"$1,169.00 "
201,GeForce GTX 970,9637,303,40.5,$237.99 
202,GeForce GTX 970M,5704,465,27.16,$209.99 
203,GeForce GTX 980,11068,272,44.75,$247.35 
204,GeForce GTX 980 Ti,13693,196,21.24,$644.61 
205,GeForce GTX 980M,7368,384,25.41,$289.99 
206,GeForce GTX 1050,5043,527,21.1,$239.00 
207,GeForce GTX 1050 Ti,6354,425,16.23,$391.63 
208,GeForce GTX 1060,10059,294,31.44,$319.99 
209,GeForce GTX 1060 3GB,9824,297,37.79,$259.99 
210,GeForce GTX 1060 5GB,9205,322,18.86,$487.99 
211,GeForce GTX 1070,13510,203,27.16,$497.48 
212,GeForce GTX 1070 Ti,14663,177,25.73,$569.99 
213,GeForce GTX 1080,15615,154,35.27,$442.79 
214,GeForce GTX 1080 Ti,18595,111,38.43,$483.82 
215,GeForce GTX 1630,4995,532,26.3,$189.99 
216,GeForce GTX 1650,7869,363,28.78,$273.45 
217,GeForce GTX 1650 SUPER,10186,288,42.44,$239.99 
218,GeForce GTX 1660,11630,258,59.36,$195.94 
219,GeForce GTX 1660 SUPER,12689,227,53.81,$235.84 
220,GeForce GTX 1660 Ti,12704,225,56.54,$224.69 
221,GeForce GTX Titan,8184,350,10.99,$745.00 
222,GeForce GTX TITAN Black,9191,323,7.26,"$1,265.71 "
223,GeForce GTX TITAN X,12570,232,11.46,"$1,096.99 "
224,GeForce GTX TITAN Z,8896,331,5.87,"$1,515.00 "
225,GeForce MX150,2256,884,38.05,$59.29 
226,GeForce RTX 2060,14113,185,43.86,$321.75 
227,GeForce RTX 2060 SUPER,16486,138,39.43,$418.15 
228,GeForce RTX 2070,16061,145,41.24,$389.46 
229,GeForce RTX 2070 SUPER,18147,113,33.61,$539.99 
230,GeForce RTX 2080,18646,108,23.29,$800.61 
231,GeForce RTX 2080 SUPER,19460,100,28.41,$684.86 
232,GeForce RTX 2080 Ti,21494,78,16.53,"$1,299.99 "
233,GeForce RTX 2080 with Max-Q Design,12723,222,6.06,"$2,099.99 "
234,GeForce RTX 3050 4GB Laptop GPU,9499,308,35.19,$269.99 
235,GeForce RTX 3050 6GB,10753,279,55.15,$194.99 
236,GeForce RTX 3050 8GB,12511,233,59.58,$209.99 
237,GeForce RTX 3050 OEM,11906,248,36.5,$326.20 
238,GeForce RTX 3060 12GB,16761,133,53.41,$313.82 
239,GeForce RTX 3060 Laptop GPU,13164,215,42.47,$309.99 
240,GeForce RTX 3060 Ti,20294,85,29.63,$684.87 
241,GeForce RTX 3070,22150,72,54.02,$410.05 
242,GeForce RTX 3070 Ti,23292,57,33.28,$699.99 
243,GeForce RTX 3080,25042,47,21.06,"$1,189.00 "
244,GeForce RTX 3080 Ti,26802,39,24.62,"$1,088.77 "
245,GeForce RTX 3090,26576,42,17.85,"$1,488.57 "
