,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
323,GeForce 8400M G,105,2345,NA,NA
324,GeForce 8400M GS,103,2352,1.32,$78.20*
325,GeForce 8400M GT,66,2457,NA,NA
326,GeForce 8500 GT,170,2190,NA,NA
327,GeForce 8600 GS,179,2179,NA,NA
328,GeForce 8600 GT,141,2243,0.72,$196.00*
329,GeForce 8600 GTS,185,2174,0.77,$241.99*
330,GeForce 8600M GS,88,2394,NA,NA
331,GeForce 8600M GT,163,2208,1.51,$108.10*
332,GeForce 8700M GT,124,2291,NA,NA
333,GeForce 8800 GS,330,2018,NA,NA
334,GeForce 8800 GT,455,1899,2.13,$213.54*
335,GeForce 8800 GTS,405,1949,5.06,$79.99*
336,GeForce 8800 GTS 512,549,1783,NA,NA
337,GeForce 8800 GTX,555,1774,4.63,$119.99*
338,GeForce 8800 Ultra,642,1657,0.89,$723.60*
339,GeForce 8800M GTS,382,1964,NA,NA
340,GeForce 8800M GTX,462,1896,NA,NA
341,GeForce 9100,81,2409,NA,NA
342,GeForce 9100M G,83,2406,NA,NA
343,GeForce 9200,168,2197,NA,NA
344,GeForce 9200M GE,143,2239,NA,NA
345,GeForce 9200M GS,129,2275,NA,NA
346,GeForce 9300,126,2284,2.15,$59.00*
347,GeForce 9300 / nForce 730i,128,2276,NA,NA
348,GeForce 9300 GE,109,2338,4.75,$22.99*
349,GeForce 9300 GS,102,2356,1.71,$59.95*
350,GeForce 9300 SE,81,2414,NA,NA
351,GeForce 9300GE,97,2369,1.01,$97.20*
352,GeForce 9300M G,84,2400,NA,NA
353,GeForce 9300M GS,128,2278,2.96,$43.42*
354,GeForce 9400,146,2228,NA,NA
355,GeForce 9400 GT,195,2160,2.97,$65.87*
356,GeForce 9400M,101,2360,NA,NA
357,GeForce 9400M G,148,2223,NA,NA
358,GeForce 9450,104,2346,NA,NA
359,GeForce 9500 GS,215,2131,NA,NA
360,GeForce 9500 GT,190,2170,2.21,$85.99*
361,GeForce 9500M,103,2351,1.02,$101.20*
362,GeForce 9500M G,121,2298,NA,NA
363,GeForce 9500M GS,132,2269,NA,NA
364,GeForce 9600 GS,281,2064,NA,NA
365,GeForce 9600 GSO,323,2027,3.01,$107.39*
366,GeForce 9600 GSO 512,329,2019,NA,NA
367,GeForce 9600 GT,472,1884,7.27,$64.99*
368,GeForce 9600M GS,130,2271,NA,NA
369,GeForce 9600M GT,163,2209,2.09,$78.20*
370,GeForce 9600M GT / GeForce GT 220M,293,2048,NA,NA
371,GeForce 9650M GS,270,2074,NA,NA
372,GeForce 9650M GT,137,2255,1.17,$117.30*
373,GeForce 9700M GT,327,2022,NA,NA
374,GeForce 9700M GTS,311,2039,NA,NA
375,GeForce 9800 GT,447,1911,2.89,$154.74
376,GeForce 9800 GT 1024MB,134,2265,NA,NA
377,GeForce 9800 GTX,769,1528,10.26,$74.99*
378,GeForce 9800 GTX+,488,1858,NA,NA
379,GeForce 9800 GTX/9800 GTX+,570,1751,6.34,$89.99*
380,GeForce 9800 GX2,612,1698,3.14,$195.00*
381,GeForce 9800 S,635,1663,NA,NA
382,GeForce 9800M GS,516,1826,NA,NA
383,GeForce 9800M GT,381,1966,NA,NA
384,GeForce 9800M GTS,356,1991,NA,NA
385,GeForce 9800M GTX,454,1900,1.38,$328.50*
386,GeForce FX 5100,7,2673,NA,NA
387,GeForce FX 5200,7,2676,0.06,$129.00*
388,GeForce FX 5200 Ultra,12,2652,NA,NA
389,GeForce FX 5200LE,7,2679,0.16,$42.99*
390,GeForce FX 5200SE,11,2654,NA,NA
391,GeForce FX 5500,8,2668,0.05,$153.97*
392,GeForce FX 5600,12,2650,NA,NA
393,GeForce FX 5600 Ultra,17,2641,NA,NA
394,GeForce FX 5600XT,9,2664,NA,NA
395,GeForce FX 5700,40,2535,NA,NA
396,GeForce FX 5700 Ultra,34,2572,NA,NA
397,GeForce FX 5700LE,24,2616,NA,NA
398,GeForce FX 5700VE,33,2580,NA,NA
399,GeForce FX 5900,34,2569,NA,NA
400,GeForce FX 5900 Ultra,41,2534,NA,NA
401,GeForce FX 5900XT,40,2540,NA,NA
402,GeForce FX 5900ZT,32,2584,NA,NA
403,GeForce FX 5950 Ultra,59,2473,NA,NA
404,GeForce FX Go5300,12,2651,NA,NA
405,GeForce FX Go5650,16,2642,NA,NA
406,GeForce FX Go5700,51,2495,NA,NA
407,GeForce FX Go 5200,8,2666,NA,NA
408,GeForce FX Go 5600,17,2639,NA,NA
409,GeForce G100,176,2185,8.83,$19.99*
410,GeForce G102M,167,2199,NA,NA
411,GeForce G105M,133,2268,NA,NA
412,GeForce G200,136,2260,NA,NA
413,GeForce G205M,125,2288,NA,NA
414,GeForce G210,146,2230,1.20,$122.12*
415,GeForce G210M,129,2274,NA,NA
416,GeForce G 103M,62,2466,NA,NA
417,GeForce G 105M,92,2386,NA,NA
418,GeForce Go 6100,17,2638,NA,NA
419,GeForce Go 6150,19,2631,NA,NA
420,GeForce Go 6200,15,2645,NA,NA
421,GeForce Go 6400,24,2617,NA,NA
422,GeForce Go 6600,69,2446,NA,NA
423,GeForce Go 6600 TE/6200 TE,44,2522,NA,NA
424,GeForce Go 6800,106,2343,NA,NA
425,GeForce Go 6800 Ultra,137,2254,NA,NA
426,GeForce Go 7200,45,2520,NA,NA
427,GeForce Go 7300,52,2491,NA,NA
428,GeForce Go 7400,65,2460,NA,NA
429,GeForce Go 7600,127,2281,NA,NA
430,GeForce Go 7600 GT,210,2141,NA,NA
431,GeForce Go 7700,147,2224,NA,NA
432,GeForce Go 7800,114,2318,NA,NA
433,GeForce Go 7800 GTX,209,2142,NA,NA
434,GeForce Go 7900 GS,177,2183,NA,NA
435,GeForce Go 7900 GTX,270,2073,NA,NA
436,GeForce Go 7950 GTX,263,2083,NA,NA
437,GeForce GPU,1153,1279,NA,NA
438,GeForce GT625M,421,1935,NA,NA
439,GeForce GT 120,186,2173,6.23,$29.99*
440,GeForce GT 120 / 9500 GT,324,2024,NA,NA
441,GeForce GT 120M,150,2216,NA,NA
442,GeForce GT 130,381,1967,2.52,$151.34*
443,GeForce GT 130M,145,2234,NA,NA
444,GeForce GT 140,657,1637,NA,NA
445,GeForce GT 220,223,2121,5.59,$39.99*
446,GeForce GT 220M,160,2211,NA,NA
447,GeForce GT 230,323,2026,7.35,$43.99*
448,GeForce GT 230M,221,2125,NA,NA
449,GeForce GT 240,487,1862,3.03,$160.97*
450,GeForce GT 240M,211,2137,NA,NA
451,GeForce GT 320,470,1887,14.38,$32.69*
452,GeForce GT 320M,113,2323,NA,NA
453,GeForce GT 325M,169,2193,NA,NA
454,GeForce GT 330,391,1958,9.79,$39.99*
455,GeForce GT 330M,219,2127,NA,NA
456,GeForce GT 335M,367,1981,NA,NA
457,GeForce GT 340,738,1563,13.93,$52.99*
458,GeForce GT 415,251,2096,NA,NA
459,GeForce GT 415M,286,2058,NA,NA
460,GeForce GT 420,433,1921,2.80,$155.00*
461,GeForce GT 420M,391,1957,NA,NA
462,GeForce GT 425M,499,1848,NA,NA
463,GeForce GT 430,599,1710,4.28,$139.99*
464,GeForce GT 435M,535,1800,NA,NA
465,GeForce GT 440,770,1527,3.42,$225.00*
466,GeForce GT 445M,811,1486,NA,NA
467,GeForce GT 520,324,2023,1.07,$304.00*
468,GeForce GT 520M,284,2059,9.51,$29.95*
469,GeForce GT 520MX,289,2053,NA,NA
470,GeForce GT 525M,448,1908,NA,NA
471,GeForce GT 530,658,1636,13.44,$49.00*
472,GeForce GT 540M,473,1883,5.39,$87.95*
473,GeForce GT 545,1114,1288,20.06,$55.59*
474,GeForce GT 550M,561,1765,NA,NA
475,GeForce GT 555M,647,1648,3.65,$177.20*
476,GeForce GT 610,332,2014,2.37,$139.99*
477,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368,1980,NA,NA
478,GeForce GT 620,390,1959,2.54,$154.00*
479,GeForce GT 620M,431,1925,NA,NA
480,GeForce GT 625,374,1974,NA,NA
481,GeForce GT 625M,484,1866,NA,NA
482,GeForce GT 630,686,1609,4.67,$147.01*
483,GeForce GT 630M,519,1821,NA,NA
484,GeForce GT 635,810,1489,12.10,$66.94*
485,GeForce GT 635M,535,1801,NA,NA
486,GeForce GT 640,1168,1269,10.62,$109.99*
487,GeForce GT 640M,886,1426,NA,NA
488,GeForce GT 640M LE,698,1600,0.82,$849.99*
489,GeForce GT 645,2005,956,NA,NA
490,GeForce GT 645M,944,1392,NA,NA
491,GeForce GT 650M,1185,1261,NA,NA
492,GeForce GT 705,369,1979,1.25,$296.76*
493,GeForce GT 710,619,1687,2.48,$249.99*
494,GeForce GT 710M,429,1927,NA,NA
495,GeForce GT 720,659,1632,6.60,$99.99*
496,GeForce GT 720A,566,1759,NA,NA
497,GeForce GT 720M,439,1917,NA,NA
498,GeForce GT 730,823,1473,8.10,$101.71*
499,GeForce GT 730A,742,1559,NA,NA
500,GeForce GT 730M,806,1490,NA,NA
501,GeForce GT 735M,659,1631,NA,NA
502,GeForce GT 740,1425,1183,6.02,$236.99*
503,GeForce GT 740A,710,1592,NA,NA
504,GeForce GT 740M,779,1513,NA,NA
505,GeForce GT 745A,1233,1239,NA,NA
506,GeForce GT 745M,1081,1305,NA,NA
507,GeForce GT 750M,1331,1207,NA,NA
508,GeForce GT 755M,1720,1061,NA,NA
509,GeForce GT 820M,538,1798,NA,NA
510,GeForce GT 1010,972,1372,NA,NA
511,GeForce GT 1030,2400,837,19.12,$125.55
512,GeForce GTS 150M,504,1844,NA,NA
513,GeForce GTS 160M,678,1619,NA,NA
514,GeForce GTS 240,515,1830,7.93,$64.99*
515,GeForce GTS 250,567,1757,6.59,$86.06*
516,GeForce GTS 250M,519,1822,NA,NA
517,GeForce GTS 350M,380,1969,NA,NA
518,GeForce GTS 360M,631,1669,NA,NA
519,GeForce GTS 450,1339,1206,9.98,$134.23*
520,GeForce GTX 260,1201,1257,4.20,$285.78*
521,GeForce GTX 260M,382,1965,NA,NA
522,GeForce GTX 275,1351,1201,3.13,$431.72*
523,GeForce GTX 280,1285,1219,2.46,$522.78*
524,GeForce GTX 280M,575,1747,NA,NA
525,GeForce GTX 285,1475,1165,12.29,$119.99*
526,GeForce GTX 285M,584,1732,NA,NA
527,GeForce GTX 295,1220,1247,7.63,$159.99*
528,GeForce GTX 460,2271,876,25.24,$89.99*
529,GeForce GTX 460 SE,1992,965,12.45,$159.99*
530,GeForce GTX 460 v2,2074,934,10.37,$199.99*
531,GeForce GTX 460M,1218,1248,NA,NA
532,GeForce GTX 465,2656,793,13.62,$195.00*
533,GeForce GTX 470,3159,723,52.67,$59.99*
534,GeForce GTX 470M,1953,979,NA,NA
535,GeForce GTX 480,4078,607,23.99,$169.99*
536,GeForce GTX 480M,1653,1088,NA,NA
537,GeForce GTX 485M,2359,848,NA,NA
538,GeForce GTX 550 Ti,1553,1135,15.54,$99.99*
539,GeForce GTX 555,1603,1113,NA,NA
540,GeForce GTX 560,2772,772,13.53,$205.00*
541,GeForce GTX 560 SE,1847,1018,20.53,$89.99*
542,GeForce GTX 560 Ti,3076,736,23.67,$129.99*
543,GeForce GTX 560M,1283,1220,NA,NA
544,GeForce GTX 570,3929,617,26.20,$149.99*
545,GeForce GTX 570M,1862,1012,NA,NA
546,GeForce GTX 580,4630,562,9.48,$488.59*
547,GeForce GTX 580M,1771,1045,7.12,$248.68*
548,GeForce GTX 590,3341,691,7.68,$435.00*
549,GeForce GTX 645,1875,1003,NA,NA
550,GeForce GTX 650,1757,1050,12.22,$143.80*
551,GeForce GTX 650 Ti,2530,821,27.20,$93.05*
552,GeForce GTX 650 Ti BOOST,3407,683,NA,NA
553,GeForce GTX 660,4042,610,24.07,$167.95*
554,GeForce GTX 660 Ti,4414,585,30.66,$144.00*
555,GeForce GTX 660M,1453,1171,18.40,$78.99*
556,GeForce GTX 670,5360,494,27.63,$193.98*
557,GeForce GTX 670M,1720,1063,NA,NA
558,GeForce GTX 670MX,1977,971,NA,NA
559,GeForce GTX 675M,1854,1016,NA,NA
560,GeForce GTX 675MX,2987,745,NA,NA
561,GeForce GTX 680,5607,470,14.06,$399.00*
562,GeForce GTX 680M,3276,701,24.09,$135.99*
563,GeForce GTX 680M KY_Bullet Edition,3568,664,NA,NA
564,GeForce GTX 680MX,3799,639,NA,NA
565,GeForce GTX 690,5535,481,19.70,$280.99*
566,GeForce GTX 745,2121,925,7.44,$284.95*
567,GeForce GTX 750,3310,697,24.47,$135.29*
568,GeForce GTX 750 Ti,3901,622,44.28,$88.11*
569,GeForce GTX 760,4816,547,32.33,$149.00*
570,GeForce GTX 760 Ti,5306,502,17.84,$297.50*
571,GeForce GTX 760 Ti OEM,5474,487,NA,NA
572,GeForce GTX 760A,1226,1244,NA,NA
573,GeForce GTX 760M,1730,1056,NA,NA
574,GeForce GTX 765M,2008,954,10.78,$186.30*
575,GeForce GTX 770,5966,450,23.96,$249.00*
576,GeForce GTX 770M,2789,771,20.21,$138.00*
577,GeForce GTX 775M,3927,618,NA,NA
578,GeForce GTX 780,7949,359,28.39,$279.99*
579,GeForce GTX 780 Ti,9468,313,27.85,$339.99*
580,GeForce GTX 780M,3866,630,7.75,$499.00*
581,GeForce GTX 850A,767,1530,NA,NA
582,GeForce GTX 850M,2537,818,NA,NA
583,GeForce GTX 850M - MODDED,1091,1298,NA,NA
584,GeForce GTX 860M,3096,734,27.16,$114.00*
585,GeForce GTX 870M,3536,668,NA,NA
586,GeForce GTX 880M,3840,634,NA,NA
587,GeForce GTX 950,5355,495,37.72,$141.99*
588,GeForce GTX 950A,2598,802,NA,NA
589,GeForce GTX 950M,2570,808,4.53,$567.00*
590,GeForce GTX 960,6135,440,35.67,$172.00*
591,GeForce GTX 960A,3464,678,NA,NA
592,GeForce GTX 960M,3371,685,2.88,"$1,169.00*"
593,GeForce GTX 965M,3872,629,NA,NA
594,GeForce GTX 970,9637,303,40.50,$237.99*
595,GeForce GTX 970M,5704,465,27.16,$209.99*
596,GeForce GTX 970XM FORCE,6706,403,NA,NA
597,GeForce GTX 980,11068,272,44.75,$247.35*
598,GeForce GTX 980 Ti,13693,196,21.24,$644.61*
599,GeForce GTX 980M,7368,384,25.41,$289.99*
600,GeForce GTX 1050,5043,527,21.10,$239.00*
601,GeForce GTX 1050 3GB,5110,521,NA,NA
602,GeForce GTX 1050 (Mobile),4462,579,NA,NA
603,GeForce GTX 1050 Ti,6354,425,16.23,$391.63
604,GeForce GTX 1050 Ti (Mobile),5917,455,NA,NA
605,GeForce GTX 1050 Ti with Max-Q Design,5310,501,NA,NA
606,GeForce GTX 1050 with Max-Q Design,3918,621,NA,NA
607,GeForce GTX 1060,10059,294,31.44,$319.99*
608,GeForce GTX 1060 3GB,9824,297,37.79,$259.99*
609,GeForce GTX 1060 5GB,9205,322,18.86,$487.99*
610,GeForce GTX 1060 (Mobile),8160,353,NA,NA
611,GeForce GTX 1060 with Max-Q Design,7836,364,NA,NA
612,GeForce GTX 1070,13510,203,27.16,$497.48*
613,GeForce GTX 1070 (Mobile),10465,282,NA,NA
614,GeForce GTX 1070 Ti,14663,177,25.73,$569.99*
615,GeForce GTX 1070 with Max-Q Design,9765,299,NA,NA
616,GeForce GTX 1080,15615,154,35.27,$442.79*
617,GeForce GTX 1080 Ti,18595,111,38.43,$483.82*
618,GeForce GTX 1080 with Max-Q Design,11604,259,NA,NA
619,GeForce GTX 1630,4995,532,26.30,$189.99*
620,GeForce GTX 1650,7869,363,28.78,$273.45*
621,GeForce GTX 1650 (Mobile),6968,396,NA,NA
622,GeForce GTX 1650 SUPER,10186,288,42.44,$239.99*
623,GeForce GTX 1650 Ti,7522,382,NA,NA
624,GeForce GTX 1650 Ti with Max-Q Design,6591,412,NA,NA
625,GeForce GTX 1650 with Max-Q Design,6332,427,NA,NA
626,GeForce GTX 1660,11630,258,59.36,$195.94*
627,GeForce GTX 1660 SUPER,12689,227,53.81,$235.84*
628,GeForce GTX 1660 Ti,12704,225,56.54,$224.69
629,GeForce GTX 1660 Ti (Mobile),10101,292,NA,NA
630,GeForce GTX 1660 Ti with Max-Q Design,8606,337,NA,NA
631,GeForce GTX Titan,8184,350,10.99,$745.00*
632,GeForce GTX TITAN Black,9191,323,7.26,"$1,265.71"
633,GeForce GTX TITAN X,12570,232,11.46,"$1,096.99*"
634,GeForce GTX TITAN Z,8896,331,5.87,"$1,515.00*"
635,GeForce MX110,1412,1187,NA,NA
636,GeForce MX130,1805,1030,NA,NA
637,GeForce MX150,2256,884,38.05,$59.29*
638,GeForce MX230,1822,1025,NA,NA
639,GeForce MX250,2375,843,NA,NA
640,GeForce MX330,2347,853,NA,NA
641,GeForce MX350,2824,765,NA,NA
642,GeForce MX450,3719,644,NA,NA
643,GeForce MX550,4467,577,NA,NA
644,GeForce MX570,5750,463,NA,NA
645,GeForce MX570 A,6285,430,NA,NA
646,GeForce PCX 5300,6,2690,NA,NA
647,GeForce PCX 5750,34,2566,NA,NA
648,GeForce PCX 5900,34,2573,NA,NA
649,GeForce RTX 2050,7705,371,NA,NA
650,GeForce RTX 2060,14113,185,43.86,$321.75
651,GeForce RTX 2060 12GB,15929,147,NA,NA
652,GeForce RTX 2060 (Mobile),11352,268,NA,NA
653,GeForce RTX 2060 SUPER,16486,138,39.43,$418.15*
654,GeForce RTX 2060 with Max-Q Design,9648,302,NA,NA
655,GeForce RTX 2070,16061,145,41.24,$389.46*
656,GeForce RTX 2070 (Mobile),12357,236,NA,NA
657,GeForce RTX 2070 SUPER,18147,113,33.61,$539.99*
658,GeForce RTX 2070 Super with Max-Q Design,13405,208,NA,NA
659,GeForce RTX 2070 with Max-Q Design,11409,266,NA,NA
660,GeForce RTX 2080,18646,108,23.29,$800.61*
661,GeForce RTX 2080 (Mobile),15013,168,NA,NA
662,GeForce RTX 2080 SUPER,19460,100,28.41,$684.86*
663,GeForce RTX 2080 Super with Max-Q Design,13503,204,NA,NA
664,GeForce RTX 2080 Ti,21494,78,16.53,"$1,299.99*"
665,GeForce RTX 2080 with Max-Q Design,12723,222,6.06,"$2,099.99*"
666,GeForce RTX 3050 4GB Laptop GPU,9499,308,35.19,$269.99*
667,GeForce RTX 3050 6GB,10753,279,55.15,$194.99
668,GeForce RTX 3050 6GB Laptop GPU,10137,291,NA,NA
669,GeForce RTX 3050 8GB,12511,233,59.58,$209.99
670,GeForce RTX 3050 A Laptop GPU,11015,273,NA,NA
671,GeForce RTX 3050 Laptop GPU,12003,246,NA,NA
672,GeForce RTX 3050 OEM,11906,248,36.50,$326.20
673,GeForce RTX 3050 Ti Laptop GPU,10086,293,NA,NA
674,GeForce RTX 3060,16989,131,NA,NA
675,GeForce RTX 3060 8GB,15238,161,NA,NA
676,GeForce RTX 3060 12GB,16761,133,53.41,$313.82
677,GeForce RTX 3060 Laptop GPU,13164,215,42.47,$309.99*
678,GeForce RTX 3060 Ti,20294,85,29.63,$684.87
679,GeForce RTX 3070,22150,72,54.02,$410.05
680,GeForce RTX 3070 Laptop GPU,15152,164,NA,NA
681,GeForce RTX 3070 Ti,23292,57,33.28,$699.99
682,GeForce RTX 3070 Ti Laptop GPU,17550,119,NA,NA
683,GeForce RTX 3080,25042,47,21.06,"$1,189.00"
684,GeForce RTX 3080 12GB,26577,41,NA,NA
685,GeForce RTX 3080 Laptop GPU,16196,143,NA,NA
686,GeForce RTX 3080 Ti,26802,39,24.62,"$1,088.77"
687,GeForce RTX 3080 Ti Laptop GPU,18998,102,NA,NA
688,GeForce RTX 3090,26576,42,17.85,"$1,488.57*"
689,GeForce RTX 3090 Ti,29359,23,14.75,"$1,990.00*"
690,GeForce RTX 4050 Laptop GPU,14330,181,NA,NA
691,GeForce RTX 4060,19537,98,65.13,$299.99*
692,GeForce RTX 4060 Laptop GPU,17399,120,NA,NA
693,GeForce RTX 4060 Ti,22622,69,50.27,$449.99*
694,GeForce RTX 4060 Ti 16GB,22700,67,49.35,$459.99*
695,GeForce RTX 4070,26911,37,32.42,$830.19*
696,GeForce RTX 4070 Laptop GPU,19547,97,NA,NA
697,GeForce RTX 4070 SUPER,29960,22,39.75,$753.70*
698,GeForce RTX 4070 Ti,31579,16,37.15,$849.99
699,GeForce RTX 4070 Ti SUPER,31823,14,18.71,"$1,701.19*"
700,GeForce RTX 4080,34453,8,23.00,"$1,498.07*"
701,GeForce RTX 4080 Laptop GPU,24798,49,NA,NA
702,GeForce RTX 4080 SUPER,34227,9,31.12,"$1,099.99*"
703,GeForce RTX 4090,38103,5,16.20,"$2,352.33*"
704,GeForce RTX 4090 D,30620,20,NA,NA
705,GeForce RTX 4090 Laptop GPU,27054,34,NA,NA
706,GeForce RTX 5050,17316,121,69.27,$249.99
707,GeForce RTX 5050 Laptop GPU,14535,179,NA,NA
708,GeForce RTX 5060,20785,82,71.68,$289.99
709,GeForce RTX 5060 Laptop GPU,17134,124,NA,NA
710,GeForce RTX 5060 Ti 8GB,22527,70,64.36,$349.99
711,GeForce RTX 5060 Ti 16GB,22711,66,50.47,$449.99
712,GeForce RTX 5070,28804,26,52.37,$549.99
713,GeForce RTX 5070 Laptop GPU,19339,101,NA,NA
714,GeForce RTX 5070 Ti,32462,13,32.46,$999.99
715,GeForce RTX 5070 Ti Laptop GPU,22933,63,NA,NA
716,GeForce RTX 5080,35763,7,25.89,"$1,381.48"
717,GeForce RTX 5080 Laptop GPU,26507,43,NA,NA
718,GeForce RTX 5090,38860,4,10.45,"$3,719.99"
719,GeForce RTX 5090 D,41207,2,NA,NA
720,GeForce RTX 5090 D v2,31108,19,NA,NA
721,GeForce RTX 5090 Laptop GPU,28815,25,NA,NA
722,GF117,554,1777,NA,NA
723,Glenfly Arise-GT-10C0,1007,1347,NA,NA
724,GRID GTX P40-6,4340,591,NA,NA
725,GRID K1,650,1645,1.65,$395.00*
726,GRID K2,2736,778,2.05,"$1,331.97*"
727,GRID K120Q,293,2047,NA,NA
728,GRID K140Q,727,1572,NA,NA
729,GRID K160Q,628,1677,NA,NA
730,GRID K180Q,533,1803,NA,NA
731,GRID K220Q,912,1406,NA,NA
732,GRID K240Q,2541,817,NA,NA
733,GRID K260Q,2949,750,NA,NA
734,GRID K280Q,2839,761,NA,NA
735,GRID K520,3516,673,23.44,$149.99*
736,GRID M6-0B,911,1407,NA,NA
737,GRID M6-1Q,2069,935,NA,NA
738,GRID M6-8Q,3568,665,NA,NA
739,GRID M10-0B,870,1436,NA,NA
740,GRID M10-0Q,795,1501,NA,NA
741,GRID M10-1B,1503,1153,NA,NA
742,GRID M10-1Q,2384,840,NA,NA
743,GRID M10-2B,1643,1091,NA,NA
744,GRID M10-2Q,2691,789,NA,NA
745,GRID M10-4Q,2936,753,NA,NA
746,GRID M10-8Q,2595,803,NA,NA
747,GRID M60-0B,1838,1021,NA,NA
748,GRID M60-0Q,827,1470,NA,NA
749,GRID M60-1B,2256,885,NA,NA
750,GRID M60-1Q,3694,648,NA,NA
751,GRID M60-2Q,5203,509,NA,NA
752,GRID M60-4A,2450,830,NA,NA
753,GRID M60-4Q,3831,636,NA,NA
754,GRID M60-8A,5523,483,NA,NA
755,GRID M60-8Q,3883,625,NA,NA
756,GRID P4-1B,2151,916,NA,NA
757,GRID P4-1Q,729,1568,NA,NA
758,GRID P4-2B4,2753,775,NA,NA
759,GRID P4-2Q,3162,721,NA,NA
760,GRID P4-4Q,6234,432,NA,NA
761,GRID P4-8A,3206,714,NA,NA
762,GRID P4-8Q,5283,503,NA,NA
763,GRID P6-2Q,3925,620,NA,NA
764,GRID P6-4Q,4429,584,NA,NA
765,GRID P40-1B,3690,652,NA,NA
766,GRID P40-1Q,3839,635,NA,NA
767,GRID P40-2B,9842,296,NA,NA
768,GRID P40-2B4,6501,418,NA,NA
769,GRID P40-2Q,9580,305,NA,NA
770,GRID P40-3Q,6569,415,NA,NA
771,GRID P40-4Q,5926,454,NA,NA
772,GRID P40-8Q,7507,383,NA,NA
773,GRID P40-12Q,5540,480,NA,NA
774,GRID P40-24Q,7056,392,NA,NA
775,GRID P100-1B,2223,894,NA,NA
776,GRID P100-8Q,3345,689,NA,NA
777,GRID P100-16Q,4625,563,NA,NA
778,GRID RTX6000-1B,8473,340,NA,NA
779,GRID RTX6000-1Q,12616,229,NA,NA
780,GRID RTX6000-6Q,21986,75,NA,NA
781,GRID RTX6000P-2B,3343,690,NA,NA
782,GRID RTX6000P-6Q,4777,551,NA,NA
783,GRID T4-1B,1159,1276,NA,NA
784,GRID T4-1Q,3302,699,NA,NA
785,GRID T4-2B,2730,780,NA,NA
786,GRID T4-2Q,3668,657,NA,NA
787,GRID T4-4Q,3598,661,NA,NA
788,GRID T4-8Q,4761,554,NA,NA
789,GRID T4-16Q,4435,582,NA,NA
790,GRID V100-8Q,16,2643,NA,NA
791,GRID V100D-8Q,4155,604,NA,NA
792,GT 430,223,2122,1.56,$142.88*
793,ICE DISPLAY WDDM DRIVER,1805,1031,NA,NA
794,IncrediblE HD,389,1961,NA,NA
795,IncrediblE HD 4000,517,1825,NA,NA
796,IncrediblE HD 4600,749,1550,NA,NA
797,Intel 2nd Generation SandyBridge HD,169,2195,NA,NA
798,Intel 2nd Generation SandyBridge HD 3000,205,2149,NA,NA
799,Intel 4th Generation Haswell HD,419,1937,NA,NA
800,Intel 865 Embedded Controller,3,2757,NA,NA
801,"Intel 915G,910G Express",4,2746,NA,NA
802,Intel 915G/915GV/910GL Embedded Controller Functio,4,2727,NA,NA
803,Intel 945G Embedded Chipset Function 0,4,2734,NA,NA
804,Intel 946GZ Embedded Chipset,3,2772,NA,NA
805,Intel 946GZ Express,2,2804,NA,NA
806,Intel 82845G Controller,2,2802,NA,NA
807,Intel 82845G/GL Controller,2,2790,NA,NA
808,Intel 82845G/GL/GE/PE/GV Controller,2,2782,NA,NA
809,Intel 82852/82855 GM/GME Controller,1,2814,NA,NA
810,Intel 82865G Controller,4,2726,NA,NA
811,Intel 82915G Express,5,2700,NA,NA
812,Intel 82915G/915GV/910GL,3,2756,NA,NA
813,Intel 82915G/GV/910GL Advanced v3.5,2,2789,NA,NA
814,Intel 82915G/GV/910GL Express,3,2777,NA,NA
815,Intel 82945G Express,9,2662,NA,NA
816,Intel 82945G Express-Chipsatzfamilie,8,2671,NA,NA
817,Intel - Express Chipset G41,56,2483,NA,NA
818,Intel - Express Chipset Q45/Q43,57,2478,NA,NA
819,Intel Arc,5492,486,27.46,$199.99
820,Intel Arc 130T GPU,6200,434,NA,NA
821,Intel Arc 130V GPU,4506,571,NA,NA
822,Intel Arc 130V GPU RI,4881,542,NA,NA
823,Intel Arc 140T,5634,469,NA,NA
824,Intel Arc 140T GPU,6664,407,NA,NA
825,Intel Arc 140V GPU,5157,513,NA,NA
826,Intel Arc 140V GPU RI,4805,549,NA,NA
827,Intel Arc A310,5440,491,45.47,$119.63
828,Intel Arc A310 LP,4916,539,NA,NA
829,Intel Arc A370M,5115,520,NA,NA
830,Intel Arc A380,6296,428,41.98,$149.99
831,Intel Arc A380E,6290,429,NA,NA
832,Intel Arc A530M,8044,356,NA,NA
833,Intel Arc A580,12072,243,67.07,$179.99*
834,Intel Arc A730M,9808,298,NA,NA
835,Intel Arc A750,12613,231,51.20,$246.36*
836,Intel Arc A770,13335,211,31.74,$420.20
837,Intel Arc A770M,11859,250,NA,NA
838,Intel Arc B370 GPU,8278,349,NA,NA
839,Intel Arc B390 GPU,9379,317,NA,NA
840,Intel Arc B570,14122,184,NA,NA
841,Intel Arc B580,15916,148,63.92,$249.00*
842,Intel Arc GPU,9372,318,NA,NA
843,Intel Arc Pro,5865,456,NA,NA
844,Intel Arc Pro 130T GPU,6177,436,NA,NA
845,Intel Arc Pro 140T GPU,6656,409,NA,NA
846,Intel Arc Pro A40/A50,5711,464,NA,NA
847,Intel Arc Pro A60,9493,310,NA,NA
