,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
2734,Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2981,746,NA,NA
2735,Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU,2606,799,NA,NA
2736,spacedesk Adapter,13758,194,NA,NA
2737,SQExtFramebufferUmode Device,15054,167,NA,NA
2738,SudoMaker Virtual Display Adapter,22729,65,NA,NA
2739,SUMO 964A,497,1851,NA,NA
2740,SUMO 9640,650,1646,NA,NA
2741,SUMO 9644,465,1889,NA,NA
2742,SuperDisplay Virtual Adapter,10390,285,NA,NA
2743,Surface Duo Adreno 640 GPU,592,1718,NA,NA
2744,T400,3619,659,23.82,$151.99*
2745,T400 4GB,3809,637,NA,NA
2746,T500,3609,660,NA,NA
2747,T550 Laptop GPU,4759,556,NA,NA
2748,T600,6368,424,26.54,$239.99*
2749,T600 Laptop GPU,7028,393,NA,NA
2750,T1000,7642,377,14.57,$524.53*
2751,T1000 8GB,7680,374,NA,NA
2752,T1200 Laptop GPU,7832,365,NA,NA
2753,TENSOR 1.0 Driver Intel HD 630,1299,1216,NA,NA
2754,Tesla C2050,3175,717,11.76,$269.99*
2755,Tesla C2050 / C2070,3428,681,NA,NA
2756,Tesla C2070,3120,729,5.17,$604.00*
2757,Tesla C2075,3016,744,4.67,$646.00*
2758,Tesla K20m,4432,583,NA,NA
2759,Tesla K20Xm,4403,587,0.57,"$7,699.00*"
2760,Tesla K40c,4494,573,NA,NA
2761,Tesla K40m,3143,725,NA,NA
2762,Tesla K80,5688,466,9.58,$593.95*
2763,Tesla M6,6224,433,31.28,$199.00*
2764,Tesla M10,3199,716,1.19,"$2,695.00*"
2765,Tesla M40,10219,287,17.03,$600.00*
2766,Tesla M40 24GB,10641,280,NA,NA
2767,Tesla M60,7002,394,8.89,$787.90*
2768,Tesla M2070-Q,1305,1214,NA,NA
2769,Tesla P4,9109,326,NA,NA
2770,Tesla P40,11595,260,NA,NA
2771,Tesla P100-PCIE-12GB,13310,212,NA,NA
2772,Tesla P100-PCIE-16GB,11813,252,2.07,"$5,699.00*"
2773,Tesla T4,10152,290,2.27,"$4,466.65*"
2774,Tesla T10,11763,254,NA,NA
2775,Tesla V100-PCIE-16GB,12328,238,NA,NA
2776,Tesla V100-SXM2-16GB,12745,221,NA,NA
2777,TITAN RTX,20116,89,8.05,"$2,499.00*"
2778,TITAN V,20065,90,10.03,"$1,999.99*"
2779,TITAN V CEO Edition,16987,132,NA,NA
2780,TITAN Xp COLLECTORS EDITION,18632,110,NA,NA
2781,TRINITY DEVASTATOR MOBILE,578,1739,NA,NA
2782,TRINITY SCRAPPER MOBILE,498,1850,NA,NA
2783,USB Mobile Monitor Virtual Display,18851,106,NA,NA
2784,V9560XT,6,2687,NA,NA
2785,Vanta/Vanta LT,3,2778,NA,NA
2786,VIA C9-HD IGP,12,2653,NA,NA
2787,VIA Chrome9 HC3 IGP,2,2788,NA,NA
2788,VIA Chrome9 HC IGP,4,2739,NA,NA
2789,VIA Chrome9 HC IGP Family,3,2751,NA,NA
2790,VIA Chrome9 HC IGP Family WDDM,3,2763,NA,NA
2791,VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,2801,NA,NA
2792,VIA Chrome9 HC IGP WDDM,2,2799,NA,NA
2793,VIA Chrome9 HC IGP WDDM 1.1,3,2767,NA,NA
2794,VIA Chrome9 HCM IGP,1,2810,NA,NA
2795,VIA Chrome9 HD IGP,10,2658,NA,NA
2796,VIA/S3G C-645/640 GPU,132,2270,NA,NA
2797,VIA/S3G Chrome 645/640 GPU,109,2336,NA,NA
2798,VIA/S3G DeltaChrome IGP,3,2769,NA,NA
2799,VIA/S3G KM400/KN400,4,2745,NA,NA
2800,VIA/S3G UniChrome IGP,4,2740,NA,NA
2801,VIA/S3G UniChrome Pro IGP,4,2725,NA,NA
2802,VIA/S3G UniChromeII,5,2695,NA,NA
2803,Virtual Desktop Monitor,23070,58,NA,NA
2804,Virtual Display Adapter,20531,84,NA,NA
2805,Virtual Display Device,1602,1116,NA,NA
2806,VirtualMonitor Device,12753,220,NA,NA
2807,VisionTek Radeon 7000,1,2807,NA,NA
2808,VMware Horizon Indirect Display Driver,3565,666,NA,NA
2809,VNC Mirror Driver,5042,528,NA,NA
2810,WinFast A250 LE,4,2720,NA,NA
2811,Xabre,5,2712,NA,NA
2812,XGI Volari Family v1.13.23.D_V,4,2730,NA,NA
2813,ZX C-960,76,2425,NA,NA
2814,ZX C-1080,318,2031,NA,NA
2815,ZX C-1190,346,1998,NA,NA
2816,ZX Chrome 645/640 GPU,147,2227,NA,NA
